refcat,refcat_parcela,municipio,sigla_via,via,planta,puerta,escalera,clase_bien,uso,clave_uso,valor_catastral_eur,valor_suelo_eur,valor_construccion_eur,base_liquidable_eur,tipo_impositivo,cuota_ibi_eur,exento,bonificado,tasa_basura_eur,tasa_basura_registros,tiene_padron_tasas
2471535UK5327S0001HY,2471535UK5327S,SAN ROMAN DE LOS MONTES,CL,REINA SOFIA 0023,OD,OS,T,UR,Residencial,V,47761.50,16558.89,31202.61,47761.50,0.42,200.60,N,,50.00,1,1
2271502UK5327S0001MY,2271502UK5327S,SAN ROMAN DE LOS MONTES,CL,DR LOPEZ TIMONEDA 0009,OD,OS,T,UR,Residencial,V,22758.38,2614.94,20143.44,22758.38,0.42,95.59,N,,50.00,1,1
3557412UK5335N0001IF,3557412UK5335N,SAN ROMAN DE LOS MONTES,UR,SERR PLAYA S 7R 0276,OD,OS,T,UR,Residencial,V,40589.85,13948.63,26641.22,40589.85,0.42,170.48,N,,50.00,1,1
2370705UK5327S0001XY,2370705UK5327S,SAN ROMAN DE LOS MONTES,CL,CASTILLO 0009,OD,OS,T,UR,Residencial,V,32373.45,3980.96,28392.49,32373.45,0.42,135.97,N,,50.00,1,1
4428921UK5342N0001ED,4428921UK5342N,SAN ROMAN DE LOS MONTES,UR,SERR PLAYA S4 0088,OD,OS,T,UR,Residencial,V,84258.84,16916.80,67342.04,84258.84,0.42,353.89,N,,50.00,1,1
2271804UK5327S0001UY,2271804UK5327S,SAN ROMAN DE LOS MONTES,CL,VIRGEN DEL BUEN CAMINO 0002,OD,OS,T,UR,Residencial,V,92411.59,52334.32,40077.27,92411.59,0.42,388.13,N,,50.00,1,1
4624716UK5342S0001PZ,4624716UK5342S,SAN ROMAN DE LOS MONTES,CL,ISLA MALLORCA 0013,00,01,C,UR,Residencial,V,26681.00,2774.96,23906.04,26681.00,0.42,112.06,N,,50.00,1,1
4820956UK5342S0003YM,4820956UK5342S,SAN ROMAN DE LOS MONTES,RD,GAVIOTAS 0002,00,1C,,UR,Residencial,V,58476.01,19012.09,39463.92,58476.01,0.42,245.60,N,,50.00,1,1
3532306UK5333S0001BA,3532306UK5333S,SAN ROMAN DE LOS MONTES,UR,SERR PLAYA S2 0332,OD,OS,T,UR,Residencial,V,72257.28,16552.91,55704.37,72257.28,0.42,303.48,N,,50.00,1,1
5218309UK5351N0001AM,5218309UK5351N,SAN ROMAN DE LOS MONTES,UR,SERR PLAYA SH 0007,OD,OS,T,UR,Residencial,V,95096.28,24588.41,70507.87,95096.28,0.42,399.40,N,,50.00,1,1
3421109UK5332S0001UJ,3421109UK5332S,SAN ROMAN DE LOS MONTES,UR,SERR PLAYA S2 0187,OD,OS,T,UR,Residencial,V,79308.21,15239.89,64068.32,79308.21,0.42,333.09,N,,50.00,1,1
4447213UK5344N0001KQ,4447213UK5344N,SAN ROMAN DE LOS MONTES,UR,SERR PLAYA S 7R 0452,OD,OS,T,UR,Residencial,V,51901.05,10425.46,41475.59,51901.05,0.42,217.98,N,,50.00,1,1
4626712UK5342N0001UD,4626712UK5342N,SAN ROMAN DE LOS MONTES,UR,SERR PLAYA S1 0099,OD,OS,T,UR,Residencial,V,55321.29,9815.66,45505.63,55321.29,0.42,232.35,N,,50.00,1,1
4916901UK5341N0001XL,4916901UK5341N,SAN ROMAN DE LOS MONTES,UR,SERR PLAYA SI 0064,OD,OS,T,UR,Residencial,V,59778.46,15090.24,44688.22,59778.46,0.42,251.07,N,,50.00,1,1
