refcat,n_unidades,uso_dominante,es_mixta,valor_catastral_eur,valor_suelo_eur,valor_construccion_eur,cuota_ibi_eur,n_exentos,n_bonificados,habitantes_estimados,densidad_hab_por_unidad,via_referencia
4046505UK5344N,1,Deportivo,0,20323.95,12020.20,8303.75,85.36,0,0,0,0,UR SERR PLAYA S 7R 0231
3921104UK5332S,1,Deportivo,0,43910.47,23253.60,20656.87,184.42,0,0,0,0,UR SERR PLAYA S1 0004
3857304UK5335N,1,Deportivo,0,22378.40,10537.87,11840.53,93.99,0,0,0,0,UR SERR PLAYA S 7R 0266
5126912UK5352N,1,Deportivo,0,29433.85,13600.89,15832.96,123.62,0,0,0,0,UR SERR PLAYA SI 0040
3252619UK5335S,1,Deportivo,0,29516.02,16245.90,13270.12,123.97,0,0,0,0,UR SERR PLAYA S 6R 0102
2268501UK5326N,1,Deportivo,0,142195.10,49717.59,92477.51,597.22,0,1,1.33,1.33,CL JARDINES 0016
3222441UK5332S,1,Deportivo,0,21241.87,13066.26,8175.61,89.22,0,0,0,0,UR SERR PLAYA S2 0228
4617823UK5341N,1,Deportivo,0,150509.82,11401.97,139107.85,632.14,0,0,0,0,UR SERR PLAYA Z RECREATIVA 0002
2472605UK5327S,44,Almacén-estacionamiento. Uso Industrial,1,250909.83,34210.88,216698.95,1053.81,0,0,0,0,CR CASTILLO BAYUELA 0006
4357115UK5345N,1,Deportivo,0,25793.43,13172.83,12620.60,108.33,0,0,0,0,UR SERR PLAYA S 8R 0360
2807907UK5320N,1,Deportivo,0,66402.49,44259.14,22143.35,278.89,0,0,0,0,UR REGADIOS DE SAN ROMAN 0023
3722728UK5332S,1,Deportivo,0,17270.91,13272.81,3998.10,72.54,0,0,0,0,UR SERR PLAYA S1 0072
3859403UK5335N,1,Deportivo,0,33527.54,14331.52,19196.02,140.82,0,0,0,0,UR SERR PLAYA S 8R 0501
4331416UK5343S,1,Deportivo,0,20610.79,15382.49,5228.30,86.57,0,0,0,0,UR SERR PLAYA S4 0037
4121901UK5342S,1,Deportivo,0,493496.54,331247.51,162249.03,2072.69,0,0,0,0,UR SERR PLAYA Z DEPORTIVA 0004
4323908UK5342S,1,Deportivo,0,28254.72,20626.15,7628.57,118.67,0,0,0,0,UR SERR PLAYA SA 0017
2472604UK5327S,1,Deportivo,0,43377.53,22504.25,20873.28,182.19,0,0,0,0,CR CASTILLO BAYUELA 0006
3828619UK5332N,1,Deportivo,0,21742.23,15898.86,5843.37,91.32,0,0,0,0,UR SERR PLAYA S3 0165
4917501UK5341N,1,Deportivo,0,51610.83,28696.77,22914.06,216.77,0,0,0.04,0.04,UR SERR PLAYA SI 0024
2369306UK5326N,1,Deportivo,0,17357.08,11377.01,5980.07,72.90,0,0,0.33,0.33,CL ERAS 0002
3727812UK5332N,1,Deportivo,0,176809.98,20904.42,155905.56,742.60,0,0,0,0,UR SERR PLAYA S2 0278
4722438UK5342S,1,Deportivo,0,35159.85,20893.11,14266.74,147.67,0,0,0.08,0.08,UR SERR PLAYA SC 0006
3921106UK5332S,1,Deportivo,0,90310.27,26225.29,64084.98,379.30,0,0,0.08,0.08,UR SERR PLAYA S1 0006
4322512UK5342S,1,Deportivo,0,67332.92,20232.75,47100.17,282.80,0,0,0,0,UR SERR PLAYA SA 0014
4626702UK5342N,1,Deportivo,0,20152.36,11861.42,8290.94,84.64,0,0,0,0,UR SERR PLAYA S1 0089
3059601UK5335N,1,Deportivo,0,279016.09,230692.84,48323.25,1171.87,0,0,0,0,UR REGUERONES 0116
5421525UK5352S,1,Deportivo,0,23572.28,17663.97,5908.31,99.00,0,0,0.5,0.5,UR SERR PLAYA SJ 0027
4652402UK5345S,1,Deportivo,0,26632.37,12754.34,13878.03,111.86,0,0,0,0,UR SERR PLAYA S 8R 0471
2268901UK5326N,1,Deportivo,0,318418.78,181646.03,136772.75,1337.36,1,1,0,0,CL PISCINA 0001
